,Road_1st,Road_2nd,Road_3rd,Road_4th,Road_5th,Road_6th,Road_7th,Road_8th,Road_9th,Home_1st,Home_2nd,Home_3rd,Home_4th,Home_5th,Home_6th,Home_7th,Home_8th,Home_9th,OT_number,Game_Date,Game_Start,Game_Visitor,Game_Visitor_Points,Game_Home,Game_Home_Points,Game_OT,Season,Road_Minutes_Played,Road_Field_Goals,Road_Field_Goal_Attempts,Road_Field_Goal_Percentage,Road_t3_Point_Field_Goals,Road_t3_Point_Field_Goal_Attempts,Road_t3_Point_Field_Goal_Percentage,Road_Free_Throws,Road_Free_Throw_Attempts,Road_Free_Throw_Percentage,Road_Offensive_Rebounds,Road_Defensive_Rebounds,Road_Total_Rebounds,Road_Assists,Road_Steals,Road_Blocks,Road_Turnovers,Road_Personal_Fouls,Road_Points,Home_Minutes_Played,Home_Field_Goals,Home_Field_Goal_Attempts,Home_Field_Goal_Percentage,Home_t3_Point_Field_Goals,Home_t3_Point_Field_Goal_Attempts,Home_t3_Point_Field_Goal_Percentage,Home_Free_Throws,Home_Free_Throw_Attempts,Home_Free_Throw_Percentage,Home_Offensive_Rebounds,Home_Defensive_Rebounds,Home_Total_Rebounds,Home_Assists,Home_Steals,Home_Blocks,Home_Turnovers,Home_Personal_Fouls,Home_Points,Road_True_Shooting_Percentage,Road_Effective_Field_Goal_Percentage,Road_t3_Point_Attempt_Rate,Road_Free_Throw_Attempt_Rate,Road_Offensive_Rebound_Percentage,Road_Defensive_Rebound_Percentage,Road_Total_Rebound_Percentage,Road_Assist_Percentage,Road_Steal_Percentage,Road_Block_Percentage,Road_Turnover_Percentage,Road_Usage_Percentage,Road_Offensive_Rating,Road_Defensive_Rating,Home_True_Shooting_Percentage,Home_Effective_Field_Goal_Percentage,Home_t3_Point_Attempt_Rate,Home_Free_Throw_Attempt_Rate,Home_Offensive_Rebound_Percentage,Home_Defensive_Rebound_Percentage,Home_Total_Rebound_Percentage,Home_Assist_Percentage,Home_Steal_Percentage,Home_Block_Percentage,Home_Turnover_Percentage,Home_Usage_Percentage,Home_Offensive_Rating,Home_Defensive_Rating,Road_Pace,Road_eFG%,Road_TOV%,Road_ORB%,Road_FT/FGA,Road_ORt,Home_Pace,Home_eFG%,Home_TOV%,Home_ORB%,Home_FT/FGA,Home_ORt
10,23,24,15,31,0,0,0,0,0,27,29,34,25,0,0,0,0,0,0,20091028,7:30 pm,NYK,93,MIA,115,0,2010,14400,33,87,0.3793,10,39,0.2564,17,21,0.8095,12,27,39,19,8,3,13,17,93,14400,47,83,0.5663,7,15,0.4667,14,17,0.8235,7,36,43,21,6,3,16,20,115,0.483,0.43700000000000006,0.44799999999999995,0.24100000000000002,25.0,79.4,47.6,57.6,8.3,4.4,11.9,100.0,97.0,119.9,0.635,0.608,0.18100000000000002,0.205,20.6,75.0,52.4,44.7,6.3,6.3,15.0,100.0,119.9,97.0,95.9,0.43700000000000006,11.9,25.0,0.195,97.0,95.9,0.608,15.0,20.6,0.16899999999999998,119.9
11,25,30,23,15,0,0,0,0,0,21,22,21,31,0,0,0,0,0,0,20091028,7:00 pm,NJN,93,MIN,95,0,2010,14400,34,81,0.4198,0,8,0.0,25,29,0.8621,14,38,52,20,4,10,22,24,93,14400,34,93,0.3656,1,7,0.1429,26,35,0.7429,18,32,50,14,15,2,10,23,95,0.496,0.42,0.099,0.358,30.4,67.9,51.0,58.8,4.1,11.6,19.0,100.0,94.9,96.9,0.43799999999999994,0.371,0.075,0.376,32.1,69.6,49.0,41.2,15.3,2.7,8.4,100.0,96.9,94.9,98.0,0.42,19.0,30.4,0.309,94.9,98.0,0.371,8.4,32.1,0.28,96.9
12,22,29,17,21,0,0,0,0,0,39,29,21,13,0,0,0,0,0,0,20091028,7:00 pm,SAC,89,OKC,102,0,2010,14400,32,79,0.4051,3,16,0.1875,22,28,0.7857,10,27,37,13,6,5,12,23,89,14400,39,76,0.5132,8,14,0.5714,16,20,0.8,8,33,41,20,4,6,12,19,102,0.48700000000000004,0.424,0.203,0.354,23.3,77.1,47.4,40.6,6.8,8.1,11.6,100.0,100.3,115.0,0.601,0.5660000000000001,0.184,0.263,22.9,76.7,52.6,51.3,4.5,9.5,12.4,100.0,115.0,100.3,88.7,0.424,11.6,23.3,0.278,100.3,88.7,0.5660000000000001,12.4,22.9,0.21100000000000002,115.0
13,27,20,22,37,0,0,0,0,0,29,41,30,20,0,0,0,0,0,0,20091028,7:00 pm,PHI,106,ORL,120,0,2010,14400,39,78,0.5,7,18,0.3889,21,30,0.7,8,26,34,19,9,6,13,21,106,14400,45,81,0.5556,16,29,0.5517,14,17,0.8235,8,29,37,28,5,6,15,21,120,0.581,0.545,0.231,0.385,21.6,76.5,47.9,48.7,9.6,11.5,12.5,100.0,112.9,127.9,0.6779999999999999,0.654,0.358,0.21,23.5,78.4,52.1,62.2,5.3,10.0,14.5,100.0,127.9,112.9,93.9,0.545,12.5,21.6,0.26899999999999996,112.9,93.9,0.654,14.5,23.5,0.17300000000000001,127.9
14,13,26,29,28,0,0,0,0,0,19,38,31,25,0,0,0,0,0,0,20091028,7:00 pm,NOH,96,SAS,113,0,2010,14400,39,78,0.5,5,10,0.5,13,22,0.5909,5,28,33,17,5,4,10,19,96,14400,45,86,0.5233,9,24,0.375,14,20,0.7,11,31,42,29,4,0,10,22,113,0.547,0.532,0.128,0.282,13.9,71.8,44.0,43.6,5.5,6.5,10.2,100.0,105.1,123.7,0.596,0.5760000000000001,0.27899999999999997,0.233,28.2,86.1,56.0,64.4,4.4,0.0,9.5,100.0,123.7,105.1,91.3,0.532,10.2,13.9,0.16699999999999998,105.1,91.3,0.5760000000000001,9.5,28.2,0.163,123.7
15,22,17,32,20,0,0,0,0,0,27,30,21,23,0,0,0,0,0,0,20091028,7:00 pm,CLE,91,TOR,101,0,2010,14400,29,83,0.3494,9,22,0.4091,24,37,0.6486,13,36,49,19,4,2,14,27,91,14400,34,75,0.4533,5,16,0.3125,28,37,0.7568,7,41,48,23,4,6,13,30,101,0.45799999999999996,0.40399999999999997,0.265,0.446,24.1,83.7,50.5,65.5,4.1,3.4,12.4,100.0,94.0,104.4,0.5529999999999999,0.48700000000000004,0.213,0.493,16.3,75.9,49.5,67.6,4.1,9.8,12.5,100.0,104.4,94.0,96.8,0.40399999999999997,12.4,24.1,0.289,94.0,96.8,0.48700000000000004,12.5,16.3,0.373,104.4
16,23,23,18,21,0,0,0,0,0,22,25,27,18,0,0,0,0,0,0,20091029,7:00 pm,SAS,85,CHI,92,0,2010,14400,33,78,0.4231,4,21,0.1905,15,23,0.6522,8,36,44,15,5,5,13,23,85,14400,35,84,0.4167,3,16,0.1875,19,28,0.6786,15,37,52,20,5,9,9,20,92,0.48200000000000004,0.449,0.26899999999999996,0.295,17.8,70.6,45.8,45.5,5.5,7.4,12.9,100.0,94.2,102.0,0.478,0.435,0.19,0.33299999999999996,29.4,82.2,54.2,57.1,5.5,15.8,8.5,100.0,102.0,94.2,90.2,0.449,12.9,17.8,0.192,94.2,90.2,0.435,8.5,29.4,0.226,102.0
17,24,18,20,35,0,0,0,0,0,17,26,24,27,0,0,0,0,0,0,20091029,7:30 pm,DEN,97,POR,94,0,2010,14400,28,61,0.45899999999999996,3,11,0.2727,38,49,0.7755,5,31,36,11,6,3,8,30,97,14400,28,81,0.3457,5,19,0.2632,33,41,0.8049,14,30,44,16,4,5,7,30,94,0.5870000000000001,0.484,0.18,0.8029999999999999,14.3,68.9,45.0,39.3,7.0,4.8,8.8,100.0,113.9,110.4,0.475,0.377,0.235,0.506,31.1,85.7,55.0,57.1,4.7,10.0,6.6,100.0,110.4,113.9,85.2,0.484,8.8,14.3,0.623,113.9,85.2,0.377,6.6,31.1,0.40700000000000003,110.4
18,24,20,22,23,0,0,0,0,0,29,29,17,25,0,0,0,0,0,0,20091030,7:30 pm,WAS,89,ATL,100,0,2010,14400,35,79,0.44299999999999995,5,13,0.3846,14,22,0.6364,8,32,40,19,5,5,14,23,89,14400,32,78,0.4103,5,20,0.25,31,34,0.9118,11,36,47,18,5,7,12,24,100,0.502,0.475,0.165,0.278,18.2,74.4,46.0,54.3,5.4,8.6,13.6,100.0,96.6,108.5,0.5379999999999999,0.442,0.256,0.436,25.6,81.8,54.0,56.3,5.4,10.6,11.4,100.0,108.5,96.6,92.1,0.475,13.6,18.2,0.177,96.6,92.1,0.442,11.4,25.6,0.397,108.5
19,17,18,26,29,0,0,0,0,0,21,29,38,30,0,0,0,0,0,0,20091030,8:00 pm,CHI,90,BOS,118,0,2010,14400,34,82,0.4146,2,15,0.1333,20,27,0.7407,16,20,36,19,6,3,15,27,90,14400,43,74,0.5811,12,24,0.5,20,24,0.8333,10,32,42,33,7,5,16,22,118,0.479,0.42700000000000005,0.183,0.32899999999999996,33.3,66.7,46.2,55.9,6.7,6.0,13.8,100.0,100.4,131.7,0.698,0.662,0.324,0.324,33.3,66.7,53.8,76.7,7.8,7.5,15.9,100.0,131.7,100.4,89.6,0.42700000000000005,13.8,33.3,0.244,100.4,89.6,0.662,15.9,33.3,0.27,131.7
